longitude;latitude;Gatunek;Rok;Lokalizacja;Suma_S_nodorum;Suma_S_aveanae;Suma_S_tritici
17.260902;50.847896;Pszen¿yto ozime;2020;Oleœnica Ma³a;6;2;0
22.649666;49.951308;Pszen¿yto ozime;2020;O¿añsk;39;11;4
20.27488;49.970209;Pszen¿yto ozime;2020;Grodkowice;18;5;4
15.174479;52.744631;Pszen¿yto ozime;2017;Ma³yszyn;79;20;10
16.2477;54.153613;Pszen¿yto ozime;2017;Bonin;30;3;10
22.649666;49.951308;Pszen¿yto ozime;2018;O¿añsk;6;0;11
15.174479;52.744631;Pszen¿yto ozime;2016;Ma³yszyn;137;59;2
16.790134;52.114888;Pszen¿yto ozime;2016;Borowo;23;10;10
17.183084;51.691261;Pszen¿yto ozime;2020;Smolice;27;9;1
20.482843;53.710861;Pszen¿yto ozime;2016;Bart¹¿ek;35;21;8
20.482843;53.710861;Pszen¿yto ozime;2020;Bart¹¿ek;46;3;4
20.27488;49.970209;Pszen¿yto ozime;2018;Grodkowice;12;3;19
20.482843;53.710861;Pszen¿yto ozime;2019;Bart¹¿ek;105;19;45
16.2477;54.153613;Pszen¿yto ozime;2015;Bonin;24;0;7
16.2477;54.153613;Pszen¿yto ozime;2016;Bonin;177;2;5
20.482843;53.710861;Pszen¿yto ozime;2017;Bart¹¿ek;4;0;0
17.260902;50.847896;Pszen¿yto ozime;2018;Oleœnica Ma³a;3;2;0
16.790134;52.114888;Pszen¿yto ozime;2020;Borowo;19;12;1
17.260902;50.847896;Pszen¿yto ozime;2017;Oleœnica Ma³a;2;5;1
16.790134;52.114888;Pszen¿yto ozime;2017;Borowo;8;15;0
22.649666;49.951308;Pszen¿yto ozime;2017;O¿añsk;18;2;6
17.183084;51.691261;Pszen¿yto ozime;2017;Smolice;6;3;2
17.183084;51.691261;Pszen¿yto ozime;2016;Smolice;75;16;8
17.260902;50.847896;Pszen¿yto ozime;2015;Oleœnica Ma³a;0;0;0
16.2477;54.153613;Pszen¿yto ozime;2018;Bonin;54;0;18
20.27488;49.970209;Pszen¿yto ozime;2017;Grodkowice;3;0;39
16.790134;52.114888;Pszen¿yto ozime;2015;Borowo;0;0;0
17.183084;51.691261;Pszen¿yto ozime;2015;Smolice;0;0;1
17.260902;50.847896;Pszen¿yto ozime;2016;Oleœnica Ma³a;9;13;0
17.183084;51.691261;Pszen¿yto ozime;2018;Smolice;17;2;14
15.174479;52.744631;Pszen¿yto ozime;2015;Ma³yszyn;2;1;0
20.482843;53.710861;Pszen¿yto ozime;2018;Bart¹¿ek;38;8.6;11.8
16.2477;54.153613;Pszen¿yto ozime;2020;Bonin;24;0;8
15.174479;52.744631;Pszen¿yto ozime;2019;Ma³yszyn;15;27;16
16.2477;54.153613;Pszen¿yto ozime;2019;Bonin;2;6;26
22.649666;49.951308;Pszen¿yto ozime;2016;O¿añsk;30;5;8
16.790134;52.114888;Pszen¿yto ozime;2018;Borowo;0;0;0
20.27488;49.970209;Pszen¿yto ozime;2015;Grodkowice;5;6;3
22.649666;49.951308;Pszen¿yto ozime;2019;O¿añsk;0;0;0
15.174479;52.744631;Pszen¿yto ozime;2020;Ma³yszyn;2;1;10
20.482843;53.710861;Pszen¿yto ozime;2015;Bart¹¿ek;0;0;2
15.174479;52.744631;Pszen¿yto ozime;2018;Ma³yszyn;20;0;0
17.183084;51.691261;Pszen¿yto ozime;2019;Smolice;3;3;5
20.27488;49.970209;Pszen¿yto ozime;2019;Grodkowice;28;15;5
17.260902;50.847896;Pszen¿yto ozime;2019;Oleœnica Ma³a;2;0;0
20.27488;49.970209;Pszen¿yto ozime;2016;Grodkowice;43;16;14
22.649666;49.951308;Pszen¿yto ozime;2015;O¿añsk;0;0;2
16.790134;52.114888;Pszen¿yto ozime;2019;Borowo;14;1;32
17.260902;50.847896;Pszenica ozima;2020;Oleœnica Ma³a;6;0;139
22.649666;49.951308;Pszenica ozima;2020;O¿añsk;56;4;145
20.27488;49.970209;Pszenica ozima;2020;Grodkowice;9;2;177
15.174479;52.744631;Pszenica ozima;2017;Ma³yszyn;211;3;192
16.2477;54.153613;Pszenica ozima;2017;Bonin;18;1;54
22.649666;49.951308;Pszenica ozima;2018;O¿añsk;0;1;201
15.174479;52.744631;Pszenica ozima;2016;Ma³yszyn;83;20;186
16.790134;52.114888;Pszenica ozima;2016;Borowo;17;6;343
17.183084;51.691261;Pszenica ozima;2020;Smolice;24;0;227
20.482843;53.710861;Pszenica ozima;2016;Bart¹¿ek;5;0;230
20.482843;53.710861;Pszenica ozima;2020;Bart¹¿ek;39;1;312
20.27488;49.970209;Pszenica ozima;2018;Grodkowice;3;1;160
20.482843;53.710861;Pszenica ozima;2019;Bart¹¿ek;34;0;345
16.2477;54.153613;Pszenica ozima;2015;Bonin;2;0;52
16.2477;54.153613;Pszenica ozima;2016;Bonin;53;5;165
20.482843;53.710861;Pszenica ozima;2017;Bart¹¿ek;27;0;51
17.260902;50.847896;Pszenica ozima;2018;Oleœnica Ma³a;2;1;60
16.790134;52.114888;Pszenica ozima;2020;Borowo;12;5;172
17.260902;50.847896;Pszenica ozima;2017;Oleœnica Ma³a;1;0;251
16.790134;52.114888;Pszenica ozima;2017;Borowo;9;10;48
22.649666;49.951308;Pszenica ozima;2017;O¿añsk;3;0;311
17.183084;51.691261;Pszenica ozima;2017;Smolice;3;2;164
17.183084;51.691261;Pszenica ozima;2016;Smolice;3;5;227
17.260902;50.847896;Pszenica ozima;2015;Oleœnica Ma³a;1;0;1
16.2477;54.153613;Pszenica ozima;2018;Bonin;25;0;42
20.27488;49.970209;Pszenica ozima;2017;Grodkowice;1;0;300
16.790134;52.114888;Pszenica ozima;2015;Borowo;4;0;40
17.183084;51.691261;Pszenica ozima;2015;Smolice;0;1;47
17.260902;50.847896;Pszenica ozima;2016;Oleœnica Ma³a;23;11;105
17.183084;51.691261;Pszenica ozima;2018;Smolice;5;3;157
15.174479;52.744631;Pszenica ozima;2015;Ma³yszyn;7;0;29
20.482843;53.710861;Pszenica ozima;2018;Bart¹¿ek;21;0.2;190.4
16.2477;54.153613;Pszenica ozima;2020;Bonin;3;0;296
15.174479;52.744631;Pszenica ozima;2019;Ma³yszyn;0;1;182
16.2477;54.153613;Pszenica ozima;2019;Bonin;0;0;218
22.649666;49.951308;Pszenica ozima;2016;O¿añsk;0;0;216
16.790134;52.114888;Pszenica ozima;2018;Borowo;0;0;0
20.27488;49.970209;Pszenica ozima;2015;Grodkowice;6;0;53
22.649666;49.951308;Pszenica ozima;2019;O¿añsk;0;0;53
15.174479;52.744631;Pszenica ozima;2020;Ma³yszyn;0;1;56
20.482843;53.710861;Pszenica ozima;2015;Bart¹¿ek;0;0;14
15.174479;52.744631;Pszenica ozima;2018;Ma³yszyn;43;1;56
17.183084;51.691261;Pszenica ozima;2019;Smolice;0;0;311
20.27488;49.970209;Pszenica ozima;2019;Grodkowice;1;0;324
17.260902;50.847896;Pszenica ozima;2019;Oleœnica Ma³a;2;2;106
20.27488;49.970209;Pszenica ozima;2016;Grodkowice;3;0;357
22.649666;49.951308;Pszenica ozima;2015;O¿añsk;0;0;30
16.790134;52.114888;Pszenica ozima;2019;Borowo;2;1;252
