Kod_stacji;Kod_meteo;Nazwa_stacji;E;N
252159995;3150;BABIMOST;15.78333333;52.13333333
252150270;3152;BABIMOST;15.79611111;52.14
249220170;6808;BALIGR”D-MCHAWA;22.28333333;49.35
249210240;6708;BARWINEK;21.68333333;49.43333333
251199995;4505;BE£CHAT”W;19.36666667;51.4
251230120;4902;BEZEK;23.26666667;51.18333333
252239995;3903;BIA£A PODLASKA;23.08333333;52.03333333
254159998;1101;BIA£OGARD;15.98333333;54
252230120;3902;BIA£OWIEØA;23.85;52.7
353230295;295;BIA£YSTOK;23.16222222;53.10722222
253220070;2802;BIEBRZA-PIE—CZYK”WEK;22.6;53.65
249210070;6702;BIECZ-GRUDNA;21.25;49.73333333
252239998;3901;BIELSK PODLASKI;23.16666667;52.76666667
349190600;600;BIELSKO-BIA£A;19.00111111;49.80805556
250190380;5508;BIERU— STARY;19.1;50.08333333
249220060;6803;BIRCZA;22.48333333;49.68333333
253209997;2601;BISKUPIEC;20.98333333;53.85
252179998;3301;BOBROWNIKI;17.13333333;52.81666667
249209999;6601;BOCHNIA;20.4;49.98333333
250200040;5601;BODZENTYN;20.95;50.95
250140030;5001;BOGATYNIA;14.98333333;50.9
250219999;5702;BOGUS£AWICE;21.41666667;50.85
250160610;5252;BOLES£AW”W;16.88333333;50.25
254170210;1351;BORUCINO;17.99111111;54.25333333
250200230;5606;BORUSOWA;20.8;50.28333333
249180160;6451;BRENNA;18.87166667;49.75416667
252209995;3608;BRWIN”W;20.71666667;52.13333333
249229993;6806;BRZEGI DOLNE;22.61666667;49.45
249200480;6626;BUKOWINA TATRZA—SKA;20.11666667;49.35
353170240;240;BYDGOSZCZ;17.96666667;53.1
253180220;2450;BYDGOSZCZ;18.05;53.16666667
253170260;2351;BYDGOSZCZ-SZWEDEROWO;17.995;53.09638889
251150060;4201;CEBER;16.65;51.71666667
250219994;5707;CHMIEL”W;21.65;50.51666667
353170235;235;CHOJNICE;17.5325;53.71527778
250210180;5708;CHORZEL”W;21.45;50.35
253170210;2303;CHRZ•STOWO;17.58333333;53.18333333
251160170;4250;CHWA£KOWICE;16.61388889;51.44888889
252230190;3950;CICIB”R;23.11666667;52.08333333
252189999;3401;CIECHOCINEK;18.8;52.88333333
250230160;5951;CIESZAN”W;23.11805556;50.23361111
249180130;6403;CIESZYN;18.63333333;49.75
254179996;1304;CZARNA D•BR”WKA;17.56666667;54.35
250189991;5406;CZEKAN”W;18.73333333;50.35
251229997;4804;CZES£AWICE;22.26666667;51.31666667
350190550;550;CZ STOCHOWA;19.0925;50.8125
249209978;6622;CZORSZTYN-NADZAMCZE;20.33333333;49.43333333
254160020;1201;DAR£OWO;16.38333333;54.45
249209972;6635;D BNO;20.21666667;49.46666667
250160590;5211;D£UGOPOLE-ZDR”J;16.63333333;50.25
249200070;6651;DOBCZYCE;20.06666667;49.88333333
253190030;2502;DOBROCIN;19.83333333;53.91666667
250170110;5302;DOBROGOSZCZ;17.01666667;50.76666667
249200550;6633;DOLINA PI CIU STAW”W;20.05;49.21666667
250180580;5454;DRONIOWICE;18.80888889;50.69611111
249210140;6705;DUKLA;21.68333333;49.56666667
250169994;5206;DUSZNIKI-ZDR”J;16.4;50.4
249220040;6802;DYN”W;22.23333333;49.83333333
254140010;1001;DZIWN”W;14.73333333;54.01666667
354190160;160;ELBL•G-MILEJEWO;19.54361111;54.22305556
251229996;4806;FELIN;22.63333333;51.23333333
254190050;1505;FROMBORK;19.68333333;54.36666667
354180150;150;GDA—SK-R BIECHOWO;18.46666667;54.38333333
254180090;1407;GDA—SK-R BIECHOWO;18.46666667;54.38333333
254180110;1404;GDA—SK-åWIBNO;18.93333333;54.33333333
254180060;1402;GDYNIA;18.56666667;54.51666667
254219999;1702;GIØYCKO;21.8;54.03333333
252189985;3404;G£ BOKIE;18.45;52.65
252190030;3501;G£ODOWO;19.23333333;52.83333333
250170390;5309;G£UBCZYCE;17.8;50.18333333
250170330;5308;G£UCHO£AZY;17.38333333;50.3
252170110;3303;GNIEZNO;17.56666667;52.55
253140060;2004;GOLENI”W;14.9;53.58333333
254220030;1801;GO£DAP;22.31666667;54.31666667
352150300;300;GORZ”W WIELKOPOLSKI;15.27722222;52.74111111
252150120;3101;GORZY—;15.9;52.56666667
251150080;4101;GRABIK;15.11666667;51.65
251219996;4707;GRABOWIEC;21.38333333;51.1
251170150;4303;GRABOWNICA;17.45;51.46666667
249229987;6804;GRABOWNICA;22.08333333;49.66666667
250170140;5303;GRODK”W;17.4;50.68333333
253180150;2403;GRUDZI•DZ;18.71666667;53.43333333
249199979;6521;GUBA£”WKA;19.93333333;49.3
249200540;6632;HALA G•SIENICOWA;20.00583333;49.24416667
249190680;6526;HALA ORNAK;19.86666667;49.23333333
354180135;135;HEL;18.81194444;54.60361111
254189998;1405;HOPOWO;18.25;54.25
250200280;5608;IGO£OMIA;20.26666667;50.1
249190090;6503;INWA£D;19.43333333;49.88333333
249180260;6408;ISTEBNA-KUBALONKA;18.9;49.6
249210150;6706;IWONICZ-ZDR”J;21.78333333;49.56666667
249190560;6518;JAB£ONKA;19.7;49.46666667
250150170;5150;JAKUSZYCE;15.45;50.81666667
251210040;4702;JARCZEW;21.98333333;51.81666667
250220120;5802;JAROCIN;22.3;50.56666667
249200130;6650;JASTRZ BIA;20.9;49.78333333
249189996;6401;JASTRZ BIE-ZDR”J;18.56666667;49.95
251170320;4350;JELCZ-LASKOWICE;17.35;51.05
350150500;500;JELENIA G”RA;15.78888889;50.90027778
250200340;5664;J DRZEJ”W-SUD”£;20.27555556;50.65305556
249200110;6602;JOD£OWNIK;20.25;49.78333333
351180435;435;KALISZ;18.08194444;51.78194444
250150220;5105;KARPACZ;15.78333333;50.78333333
254170040;1302;KARØNICZKA;17.23333333;54.48333333
253180240;2406;KASPARUS;18.35277778;53.75472222
349190650;650;KASPROWY WIERCH;19.98194444;49.2325
250190530;5550;KATOWICE PYRZOWICE;19.07611111;50.47277778
350190560;560;KATOWICE-MUCHOWIEC;19.03277778;50.24055556
252209996;3607;KAW CZYN;20.35;52.16666667
350200570;570;KIELCE-SUK”W;20.69222222;50.81027778
350160520;520;K£ODZKO;16.61416667;50.43694444
254190120;1503;KMIECIN;19.16666667;54.18333333
250180120;5453;KOCHCICE;18.68333333;50.71666667
250219988;5709;KOLBUSZOWA;21.8;50.23333333
352180345;345;KO£O;18.66138889;52.20027778
354150100;100;KO£OBRZEG-DèWIRZYNO;15.38888889;54.15833333
252180080;3403;KO£UDA WIELKA;18.15;52.73333333
249220180;6809;KOMA—CZA;22.06666667;49.33333333
253189992;2404;KO—CZEWICE;18.55;53.18333333
250170240;5304;KORFANT”W;17.6;50.48333333
354160105;105;KOSZALIN;16.15555556;54.20444444
254170140;1305;KOåCIERZYNA;17.96666667;54.13333333
252170210;3305;K”RNIK;17.1;52.25
350190566;566;KRAK”W-BALICE;19.80194444;50.08027778
250190390;5511;KRAK”W-OBSERWATORIUM;19.96666667;50.06666667
251239997;4903;KRASNYSTAW;23.15;51
249219993;6704;KROSNO;21.75;49.68333333
249200370;6618;KROåCIENKO;20.43333333;49.45
249200470;6623;KRYNICA;20.96666667;49.41666667
249209980;6624;KRYNICA-G”RA PARKOWA;20.96666667;49.41666667
252150050;3202;KRZYØ;15.98333333;52.88333333
253229997;2805;KRZYØEWO;22.75;53.03333333
249190480;6551;LALIKI;19.01666667;49.55
250160520;5208;L•DEK-ZDR”J;16.88333333;50.35
252200120;3603;LEGIONOWO;20.96666667;52.4
351160415;415;LEGNICA;16.2075;51.1925
349220690;690;LESKO;22.34166667;49.46638889
249190140;6505;LESKOWIEC;19.45;49.8
351160418;418;LESZNO;16.53472222;51.83583333
250229995;5805;LEØAJSK;22.41666667;50.25
354170125;125;L BORK;17.72361111;54.55305556
250190160;5504;LGOTA G”RNA;19.23333333;50.6
249190030;6501;LIBERT”W;19.9;49.96666667
253190220;2505;LIDZBARK;19.83333333;53.25
254200080;1601;LIDZBARK WARMI—SKI;20.6;54.13333333
249200180;6605;LIMANOWA;20.43333333;49.68333333
253149998;2003;LIPNIK (LIPKI);14.96666667;53.35
254180170;1406;LISEWO;18.83333333;54.1
250239994;5904;LUBACZ”W;23.13333333;50.15
252150180;3104;LUBINICKO-åWIEBODZIN;15.55;52.25
351220495;495;LUBLIN-RADAWIEC;22.39361111;51.21694444
250189996;5402;LUBLINIEC;18.7;50.68333333
